"Отметка времени","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?"
"2022/09/14 3:21:54 AM GMT+4","Dev","The Alpha Dog","1942","2022-09-13","Carlists","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 4","Nobody","","","","Nobody","","Did not end","Yes, sided with NEE","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","1941, quarter 4","","","","No","No","Split between starting nations","Chile","1938, quarter 3","Did not happen","Bulgaria","1938, quarter 3","","The Ottoman Empire","","","1941, quarter 2","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:22:09 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1940, quarter 3","TEX","","","","","TEX","1941, quarter 3","Yes, sided with NEE","Mid 1940","1941, quarter 4","Internationale","Russia","1941, quarter 4","","1942, quarter 1","","No","1940, quarter 3","","","1942, quarter 4","Someone else","1940, quarter 3","","1940, quarter 3","Yes, before WK2","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Argentina","1940, quarter 2","Did not happen","The Pact","1937, quarter 4","The Ottoman Empire","","","","1943, quarter 3","No","Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Reichspakt","1939, quarter 1","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","","Started by Transamur","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937"
"2022/09/14 3:22:23 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 4","PSA","","","","","PSA","1943, quarter 2","No","Early 1940","Did not end","Nobody","Reichspakt","","","1942, quarter 1","1941, quarter 2","No","1941, quarter 1","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Chile","1939, quarter 1","Did not happen","The Pact","1937, quarter 1","","The Ottoman Empire","","","1940, quarter 4","No","Kurdistan;Assyria;Armenia","Bharatiya Commune","No","Moscow Accord","1938, quarter 3","1942","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","Conquered only the coastal states","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937"
"2022/09/14 3:22:37 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 2","TEX","","","","","TEX","1942, quarter 1","No","Early 1940","1943, quarter 3","Internationale","Russia","1943, quarter 3","","","","No","1940, quarter 2","","","1943, quarter 3","Cairo Pact","1940, quarter 1","1943, quarter 3","1940, quarter 1","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","Nobody","","1940, quarter 3","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1938, quarter 1","Did not happen","Did not happen","Did not happen","1944","Did not happen","1942","1945","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1941","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:22:52 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Carlists","1937, quarter 4","GEA (with or without Vietnam)","1938, quarter 2","TEX","","","","","TEX","1942, quarter 2","No","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 3","","","","","1940, quarter 2","","1940, quarter 2","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 4","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1942, quarter 4","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Third Internationale","1939, quarter 1","1941","Did not happen","1942","1942","1941","1941","Did not happen","No","Nobody","Conquered all of China","Republic of East Turkestan","1942","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937"
"2022/09/14 3:23:06 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1938, quarter 2","CSA","","","CSA","","","1942, quarter 1","Yes, sided with USA","Early 1940","1942, quarter 2","Internationale","Socialist Russia","1942, quarter 2","","","","Yes, during or after WK2","1940, quarter 2","1943, quarter 1","CSA","1943, quarter 2","Someone else","1941, quarter 1","1942, quarter 3","1941, quarter 2","Yes, during or after WK2","Yes, was repelled","No","Italian Republic/Federation","Chile","1940, quarter 1","Did not happen","The Pact","1937, quarter 3","","The Cairo Pact","","","1943, quarter 4","No","Hejaz;Assyria;Armenia;Cyrenaica","Bharatiya Commune","No","Third Internationale","1939, quarter 4","1943","Did not happen","1944","1944","Did not happen","1943","Did not happen","No","Fengtian alone","Conquered all of China","Republic of East Turkestan","1944","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:23:21 AM GMT+4","Dev","The Alpha Dog","1946","2022-09-13","CNT-FAI","1938, quarter 2","Indochina","1939, quarter 4","PSA","","","PSA","","","1944, quarter 4","No","Mid 1940","1943, quarter 1","Internationale","Russia","1943, quarter 1","","","","No","1940, quarter 2","","","1945, quarter 2","Someone else","1940, quarter 2","1943, quarter 1","1940, quarter 2","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1937, quarter 4","Did not happen","The Pact","1937, quarter 4","The Ottoman Empire","","Nobody","","1940, quarter 1","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Reichspakt","1938, quarter 1","1945","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","","Started by Transamur","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1940","Shandong Clique","Quarter 3, 1937"
"2022/09/14 3:23:35 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 4","Indochina","1940, quarter 4","Nobody","","","","Nobody","","Did not end","Yes, sided with NEE","Late 1940","1942, quarter 3","Internationale","Socialist Russia","1942, quarter 3","","","","No","1940, quarter 4","","","1943, quarter 4","Someone else","1941, quarter 3","1943, quarter 2","1941, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1944, quarter 4","No","Kurdistan;Cyprus;Armenia","Princely Federation/Hyderabad","No","Belgrade Pact","1939, quarter 2","1943","Did not happen","Did not happen","Did not happen","Did not happen","1942","1943","No","Nobody","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:23:49 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1938, quarter 1","Indochina","1940, quarter 4","USA","USA","","","","","1941, quarter 1","Yes, declared war on CSA","Mid 1939","1943, quarter 2","Internationale","Russia","1943, quarter 2","","","","No","1940, quarter 1","","","","","1939, quarter 4","1943, quarter 3","1939, quarter 4","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1939, quarter 3","Did not happen","The Pact","1937, quarter 4","The Cairo Pact","","","","1942, quarter 1","No","Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Moscow Accord","1939, quarter 1","1940","Did not happen","Did not happen","1938","1938","Did not happen","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1937","Ma Clique","1940","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:24:02 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 3","NEE","","NEE","","","","1941, quarter 3","Yes, sided with NEE","Mid 1939","1941, quarter 2","Internationale","Russia","1941, quarter 2","","","","No","Did not join","","","1942, quarter 4","Internationale (not France)","1939, quarter 4","1941, quarter 4","1939, quarter 4","Yes, during or after WK2","No","Yes, was repelled","Split between starting nations","Argentina","1939, quarter 4","Did not happen","The Pact","1937, quarter 3","Nobody","","","","Did not end","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Belgrade Pact","1938, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Shandong Clique","Quarter 1, 1937"
"2022/09/14 3:24:16 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Kingdom of Spain","1938, quarter 2","GEA (with or without Vietnam)","1937, quarter 4","Nobody","","","","","Nobody","Did not end","Yes, sided with NEE","Mid 1940","1943, quarter 1","Internationale","Russia","1943, quarter 1","","1942, quarter 4","","No","1940, quarter 3","","","","","1941, quarter 1","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","Bulgaria","1938, quarter 4","","The Ottoman Empire","","","1942, quarter 3","No","Iraq;Assyria;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1939, quarter 2","1941","Did not happen","1940","Did not happen","Did not happen","1944","Did not happen","No","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:24:30 AM GMT+4","Dev","The Alpha Dog","1942","2022-09-13","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1937, quarter 4","PSA","","","PSA","","","1941, quarter 4","Yes, sided with PSA","Early 1940","1942, quarter 4","Internationale","Socialist Russia","1942, quarter 4","","","","No","1940, quarter 3","","","","","1941, quarter 4","","Did not join","","Yes, was repelled","No","Split between starting nations","Chile","1939, quarter 4","Did not happen","The Pact","1937, quarter 2","The Ottoman Empire","","","","1939, quarter 3","No","Iraq;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Reichspakt","1939, quarter 1","1940","Did not happen","1942","Did not happen","1942","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:24:43 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","Kingdom of Spain","1938, quarter 2","GEA (with or without Vietnam)","1938, quarter 1","USA","","","USA","","","1942, quarter 2","No","Early 1940","1941, quarter 2","Reichspakt","","","1941, quarter 2","","","No","1940, quarter 2","","","","","1940, quarter 2","","1940, quarter 3","No","Yes, successfully","No","Split between starting nations","Argentina","1940, quarter 3","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1941, quarter 3","Yes, but OTT still lost the war","Iraq;Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Reichspakt","1938, quarter 4","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:24:56 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1940, quarter 4","PSA","","","","PSA","","1942, quarter 4","No","Early 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","","","No","1940, quarter 2","","","","","1940, quarter 2","","1940, quarter 2","No","Yes, successfully","No","Italian Republic/Federation","Chile","1938, quarter 2","Brazil","The Pact","1938, quarter 1","","Nobody","","","Did not end","No","Armenia;Cyrenaica","Split between starting nations","Yes","Third Internationale","1939, quarter 1","1941","Did not happen","1938","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Could not push into China","Kumul Khanate","1938","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937"
"2022/09/14 3:25:10 AM GMT+4","Dev","The Alpha Dog","1946","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","","CSA","1942, quarter 2","Yes, declared war on CSA","Mid 1940","1943, quarter 2","Reichspakt","Reichspakt","","1943, quarter 2","1943, quarter 2","","Yes, during or after WK2","1940, quarter 3","1943, quarter 2","CSA","","","1940, quarter 3","","1940, quarter 3","No","Yes, successfully","Yes, successfully","Socialist Republic of Italy","Argentina","1938, quarter 3","Brazil","The Pact","1937, quarter 2","Nobody","","","","Did not end","No","Cyprus;Armenia;Cyrenaica","Dominion of India","No","Belgrade Pact","1938, quarter 2","1945","Did not happen","1943","1943","Did not happen","1941","Did not happen","No","Fengtian alone","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Shandong Clique","Quarter 1, 1937"
"2022/09/14 3:25:24 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1938, quarter 1","NEE","","","","NEE","","1945, quarter 2","Yes, sided with NEE","Early 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","1940, quarter 2","","","1944, quarter 4","Internationale (not France)","1940, quarter 4","","1941, quarter 1","Yes, before WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 2","Brazil","The Pact","1937, quarter 4","The Ottoman Empire","","Nobody","","1940, quarter 3","No","Iraq;Hejaz;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Third Internationale","1939, quarter 1","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1944","No","","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:25:38 AM GMT+4","Dev","The Alpha Dog","1946","2022-09-13","CNT-FAI","1937, quarter 3","Indochina","1940, quarter 4","TEX","","","TEX","","","1941, quarter 2","Yes, declared war on CSA","Early 1940","1940, quarter 4","Internationale","Russia","1940, quarter 4","","","","No","1940, quarter 2","","","1942, quarter 1","Commune of France","1940, quarter 2","1940, quarter 4","1940, quarter 2","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 2","Argentina","The Pact","1937, quarter 2","","","The Cairo Pact","","1941, quarter 2","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1945","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:25:52 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 3","CSA","","","CSA","","","1943, quarter 2","No","Early 1940","1942, quarter 4","Internationale","Socialist Russia","1942, quarter 4","","","","Yes, during or after WK2","1940, quarter 2","1944, quarter 1","Internationale","1943, quarter 4","Someone else","1940, quarter 3","1943, quarter 4","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1939, quarter 2","Did not happen","The Pact","1938, quarter 4","The Cairo Pact","","","","1941, quarter 3","No","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Donau-Adriabund","Did not happen","Did not happen","Did not happen","Did not happen","1940","1939","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936"
"2022/09/14 3:26:07 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Carlists","1937, quarter 3","Indochina","1941, quarter 2","CSA","","","","","CSA","1942, quarter 1","No","Early 1940","1942, quarter 4","Internationale","Russia","1942, quarter 4","","","","Yes, during or after WK2","1940, quarter 2","1942, quarter 2","CSA","1943, quarter 2","Commune of France","1940, quarter 2","1942, quarter 4","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 3","Argentina","The Pact","1937, quarter 2","","","The Cairo Pact","","1943, quarter 1","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1940, quarter 1","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","No","Nobody","","Nobody","Did not end","Ma Clique","1940","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:26:20 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1936, quarter 4","USA","","","","USA","","1941, quarter 4","Yes, declared war on CSA","Mid 1940","Did not end","Nobody","Nobody","","","1943, quarter 2","","No","1940, quarter 3","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938, quarter 1","Brazil","The Pact","1937, quarter 3","The Ottoman Empire","","","","1940, quarter 3","No","Hejaz;Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Donau-Adriabund","Did not happen","Did not happen","Did not happen","1941","1941","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937"
