"Метка часу","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","Who won the 3rd Boer War","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","What tags revolted from National France over the course of the game? Check all that apply","Did National France land on the mainland?","Did Canada land on Britain?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","What path did Austria choose during Ausgleich?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","What path did Russia take?","Who won the RCW?","When did the RCW end?","Who won the Battle for Shanxi?","What was SHX foreign policy towards QIE?","Did Shanxi make it to Contender stage?","As of 1.1.1939, what is the current ruling government of Poland?","If Poland revolted, which side rebelled?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When did German-Japanese war start?","Who won German-Japanese war?","If GEA lost in GEA-JAP war, when did it fall?","If JAP lost in GEA-JAP war, when did it fall?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","Did the GXC civil war happen?","Who won the GXC civil war?","When did the GXC civil war end?"
"2023/06/07 3:29:39 PM GMT+4","None of the above","Remington","1947","CNT-FAI","1937, quarter 4","Did not happen","","USA","","","USA","","","1940, quarter 4","Attacked CSA","White peace","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","CHA","Yes, was repelled","No","Did not join","","","","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 2","Did not happen","Pluralism","Bulgaria","1938, quarter 1","","The Cairo Pact","","","1939, quarter 4","No","Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 2","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 2","1941","Did not happen","1940, quarter 2","JAP","1942, quarter 2","","Did not happen","1938","1939","Did not happen","Did not happen","No","Fengtian alone","Conquered all of China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937","Yes","Li Zongren","1937, quarter 1"
"2023/06/07 3:29:57 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 1","GEA (with or without Vietnam)","1937, quarter 1","USA","","","USA","","","1940, quarter 3","Sided with USA","South Africa","Mid 1940","1941, quarter 3","Reichspakt","Reichspakt","","1941, quarter 3","1943, quarter 3","","No","1940, quarter 2","","","","","CHA","Yes, successfully","No","1940, quarter 3","","1940, quarter 3","No","Italian Republic/Federation","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Assyria;Armenia","Dominion of India","Dmitry Romanov (Tsar)","","","Yan Xishan","Shanxi Marches On","No","Social Liberal/Social Democrat","Socialists","No","Moscow Accord","1938, quarter 4","1940","Did not happen","1940, quarter 3","Nobody","","","1941","Did not happen","1938","1939","1944","No","Nobody","Conquered all of China","Kumul Khanate","1938","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937","Yes","Chen Lianbo","1937, quarter 2"
"2023/06/07 3:30:18 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1937, quarter 3","TEX","","","TEX","","","1942, quarter 1","Sided with USA","","Mid 1940","1944, quarter 2","Reichspakt","Reichspakt","","1944, quarter 2","Treaty of London","1943, quarter 4","No","1940, quarter 4","","","","","CHA","Yes, successfully","No","1940, quarter 3","","1940, quarter 4","No","Italian Republic/Federation","Argentina","1940, quarter 2","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1941, quarter 1","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Dominion of India","Kirill Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Socialists","No","Third Internationale","1938, quarter 3","Did not happen","Did not happen","1940, quarter 3","Nobody","","","1943","1943","1943","1939","1940","Started by Japan","Left-KMT","","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/08 12:50:56 AM GMT+4","None of the above","Remington","1944","Kingdom of Spain","1938, quarter 4","GEA (with or without Vietnam)","1937, quarter 2","CSA","","","","CSA","","1940, quarter 2","Sided with PSA","","Early 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 2","1941, quarter 3","CSA","","","CHA","No","No","1940, quarter 4","","1940, quarter 4","No","Split between starting nations","Argentina","1939, quarter 3","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1939","Did not happen","1940, quarter 2","JAP","1941, quarter 4","","1939","1938","1940","1940","1942","No","Nobody","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Ma Ji","1937, quarter 1"
"2023/06/08 12:51:19 AM GMT+4","None of the above","Remington","1947","Kingdom of Spain","1939, quarter 2","Indochina","1940, quarter 2","USA","","USA","","","","1940, quarter 3","No","","Mid 1940","1942, quarter 1","Reichspakt","Reichspakt","","1942, quarter 1","1945, quarter 4","1946, quarter 3","No","1940, quarter 3","","","1946, quarter 2","Reichspakt","CHA","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Split between starting nations","Argentina","1938, quarter 4","Did not happen","Pluralism","The Pact","1939, quarter 4","The Cairo Pact","","","","1940, quarter 1","Yes, but OTT still lost the war","Hejaz;Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Social Conservative","Poland did not rebel","No","Belgrade Pact","1938, quarter 3","Did not happen","Did not happen","1940, quarter 3","JAP","1944, quarter 2","","Did not happen","Did not happen","1945","1942","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/08 12:51:39 AM GMT+4","None of the above","Remington","1946","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","TEX","","","","","TEX","1941, quarter 2","No","","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","CHA","No","No","Did not join","","Did not join","","Socialist Republic of Italy, with INT aid","Chile","1939, quarter 1","Did not happen","Pluralism","The Pact","1938, quarter 3","The Cairo Pact","","","","1939, quarter 4","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1936, quarter 4","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","Yes","Belgrade Pact","1938, quarter 4","1941","Did not happen","1940, quarter 2","JAP","1942, quarter 2","","Did not happen","1939","Did not happen","Did not happen","Did not happen","No","Japan (FNG is ally)","Could not push into China","Kumul Khanate","1937","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/08 12:52:01 AM GMT+4","None of the above","Remington","1944","Carlists","1938, quarter 3","Did not happen","","CSA","","","","CSA","","1940, quarter 3","No","South Africa","Mid 1940","Did not end","Nobody","Nobody","","","","","Yes, before WK2","Did not join","1942, quarter 1","CSA","1940, quarter 3","FRA","CHA","No","No","1942, quarter 3","","1942, quarter 3","No","Socialist Republic of Italy, on its own","Argentina","1939, quarter 3","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","","","","The Manchu Coup","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","Yes","Belgrade Pact","1938, quarter 4","1941","Did not happen","1940, quarter 3","Nobody","","","Did not happen","1940","Did not happen","1939","Did not happen","No","Nobody","Conquered only the coastal states","Kumul Khanate","1938","Ma Clique","1939","Nanjing Clique","Quarter 1, 1937","Avoided - Chen Mingshu","",""
"2023/06/08 12:52:23 AM GMT+4","None of the above","Remington","1945","Kingdom of Spain","1938, quarter 4","Indochina","1940, quarter 2","USA","","","USA","","","1941, quarter 1","Sided with USA","South Africa","Mid 1940","1943, quarter 3","Reichspakt","Nobody","","1943, quarter 3","1944, quarter 3","","No","1940, quarter 3","","","","","CHA","No","Yes, successfully","Did not join","","Did not join","","Italian Republic/Federation","Chile","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1941, quarter 1","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Cyrenaica","Puppeted by a foreign power","Senate Republic","","","Feng Yuxiang (mission timeout)","Did not decide a foreign policy","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 2","Did not happen","Did not happen","1940, quarter 3","JAP","1941, quarter 2","","1938","1944","1944","1938","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/08 12:52:46 AM GMT+4","None of the above","Remington","1946","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","","CSA","1941, quarter 3","Sided with PSA","","Mid 1940","1943, quarter 2","Internationale","Socialist Russia","1943, quarter 2","","","","Yes, during or after WK2","1940, quarter 2","1942, quarter 3","CSA","1941, quarter 3","Cairo Pact","CHA","No","No","1941, quarter 3","1943, quarter 3","1941, quarter 3","Yes, during or after WK2","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 1","Argentina","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 3","No","Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","Socialist Revolt","Socialist Russia","1936, quarter 4","Yan Xishan","Shanxi Marches On","No","Market Liberal","Poland did not rebel","Yes","Belgrade Pact","1938, quarter 2","1941","After 1945","1940, quarter 3","Nobody","","","Did not happen","Did not happen","1941","1940","Did not happen","No","Fengtian alone","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Nobody","Did not end","Left Kuomintang","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/08 9:14:54 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 2","Did not happen","","CSA","","","","CSA","","1942, quarter 2","Sided with PSA","White peace","Mid 1940","1944, quarter 3","Reichspakt","Reichspakt","","1944, quarter 3","Treaty of London","1945, quarter 2","Yes, during or after WK2","1940, quarter 2","1943, quarter 3","CSA","","","CHA","Yes, successfully","Yes, was repelled","1940, quarter 2","","1940, quarter 2","No","Two Sicilies","Argentina","1938, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","","","","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Socialists","Yes","Moscow Accord","1938, quarter 1","1940","Did not happen","1940, quarter 2","JAP","1943, quarter 4","","1941","1938","Did not happen","1941","1945","No","Nobody","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/08 9:15:15 PM GMT+4","None of the above","Remington","1946","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","NEE","NEE","","","","","1942, quarter 2","Sided with NEE","","Early 1940","1941, quarter 2","Reichspakt","Reichspakt","","1941, quarter 2","1942, quarter 4","1943, quarter 1","No","1940, quarter 4","","","","","CHA","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Two Sicilies","Argentina","1939, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 1","Yes, but OTT still lost the war","Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Republic","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","1940, quarter 2","Nobody","","","1941","1938","1941","1939","Did not happen","Started by Japan","Nobody","","Nobody","Did not end","Mongolia and Tibet","1937","Nobody","Did not end","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/08 9:15:36 PM GMT+4","None of the above","Remington","1946","Carlists","1938, quarter 2","Did not happen","","CSA","","","CSA","","","1941, quarter 3","Sided with PSA","","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 3","","","","","CHA","Yes, was repelled","No","1940, quarter 2","","1940, quarter 2","No","Italian Republic/Federation","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1939, quarter 2","","The Cairo Pact","","","1944, quarter 2","No","Armenia;Cyrenaica","Princely Federation/Hyderabad","","","","Yan Xishan","Shanxi Marches On","No","Social Conservative","Poland did not rebel","No","Moscow Accord","1938, quarter 2","1940","Did not happen","1940, quarter 2","Nobody","","","Did not happen","Did not happen","1942","1939","1941","No","Left-KMT","Could not push into China","Nobody","Did not end","Nobody","Did not end","Nobody","Did not end","Yes","Li Zongren","1937, quarter 2"
"2023/06/08 9:15:57 PM GMT+4","None of the above","Remington","1945","CNT-FAI","1938, quarter 4","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","CSA","","1940, quarter 4","Sided with NEE","","Mid 1939","1943, quarter 1","Internationale","Russia","1943, quarter 1","","","","Yes, during or after WK2","1940, quarter 1","1942, quarter 2","CSA","1943, quarter 2","FRA","NGR;CHA","Yes, was repelled","No","1939, quarter 4","1943, quarter 1","1940, quarter 1","Yes, during or after WK2","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 2","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1940, quarter 4","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Socialists","Yes","Moscow Accord","1938, quarter 3","1939","Did not happen","1939, quarter 4","Nobody","","","1939","Before 1938","1941","Did not happen","1942","No","Nobody","Conquered all of China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Li Zongren","1937, quarter 3"
"2023/06/08 9:16:19 PM GMT+4","None of the above","Remington","1945","Carlists","1939, quarter 1","GEA (with or without Vietnam)","1937, quarter 1","CSA","","","","CSA","","1940, quarter 4","Sided with NEE","South Africa","Early 1940","1945, quarter 1","Reichspakt","Reichspakt","","1945, quarter 1","Treaty of London","1944, quarter 4","Yes, during or after WK2","1940, quarter 2","1941, quarter 3","CSA","","","NGR;CHA","No","Yes, was repelled","1940, quarter 2","","1940, quarter 2","No","Socialist Republic of Italy, with INT aid","Argentina","1938, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1940, quarter 4","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Socialists","Yes","Moscow Accord","1939, quarter 1","1940","Did not happen","1940, quarter 2","Nobody","","","1939","Did not happen","Did not happen","Did not happen","1945","Started by Russia","Nobody","Conquered only the coastal states","Kumul Khanate","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 3, 1936","Yes","Ma Ji","1937, quarter 1"
"2023/06/08 9:16:39 PM GMT+4","None of the above","Remington","1946","Kingdom of Spain","1938, quarter 3","Did not happen","","USA","","","USA","","","1943, quarter 1","No","South Africa","Mid 1939","1941, quarter 1","Reichspakt","Reichspakt","","1941, quarter 1","Treaty of London","1942, quarter 2","No","1940, quarter 1","","","1944, quarter 3","Internationale (not France)","","No","No","1940, quarter 4","","1940, quarter 4","No","Italian Republic/Federation","Chile","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1940, quarter 2","No","Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1938, quarter 2","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Authoritarian Democrat","Socialists","No","Eastern Front of the Third Internationale","1938, quarter 2","1941","1942","1939, quarter 4","Nobody","","","1943","Did not happen","1939","1944","1941","Started by Russia","Right-KMT","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Ma Clique","1938","Nanjing Clique","Quarter 1, 1937","Yes","Li Zongren","1937, quarter 3"
"2023/06/08 9:17:00 PM GMT+4","None of the above","Remington","1946","CNT-FAI","1937, quarter 2","Did not happen","","NEE","","","","NEE","","1941, quarter 1","Sided with NEE","","Mid 1940","1943, quarter 1","Reichspakt","Reichspakt","","1943, quarter 1","1943, quarter 4","1944, quarter 3","No","1940, quarter 3","","","","","","Yes, successfully","Yes, successfully","1940, quarter 2","","1940, quarter 2","No","Italian Republic/Federation","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia","Dominion of India","Wrangel (Tsar)","","","Feng Yuxiang (balance of power)","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 4","1941","1945","1940, quarter 2","GEA","","1945, quarter 2","Did not happen","1938","Did not happen","1940","1944","Started by Japan","Nobody","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 3, 1936","Yes","Ma Ji","1937, quarter 2"
